pitchDist;brightnessDist;knowledgeScore;subject;time
0;4;0.5714285714285714;81;16
4;4;0.5714285714285714;81;5
4;4;0.5714285714285714;81;25
0;4;0.5714285714285714;81;11
8;8;0.5714285714285714;81;10
4;4;0.5714285714285714;81;7
4;8;0.5714285714285714;81;5
0;4;0.5714285714285714;81;11
8;4;0.5714285714285714;81;6
0;4;0.5714285714285714;81;6
8;8;0.5714285714285714;81;9
4;0;0.5714285714285714;81;5
4;0;0.5714285714285714;81;12
4;0;0.5714285714285714;81;10
4;0;0.5714285714285714;81;5
4;8;0.5714285714285714;81;11
4;0;0.5714285714285714;81;7
0;0;0.5714285714285714;81;6
0;4;0.5714285714285714;81;18
8;0;0.5714285714285714;81;7
0;0;0.5714285714285714;81;3
0;0;0.5714285714285714;81;6
0;4;0.5714285714285714;81;4
0;0;0.5714285714285714;81;7
8;0;0.5714285714285714;81;13
4;0;0.5714285714285714;81;4
0;0;0.5714285714285714;81;22
4;8;0.5714285714285714;81;3
8;4;0.5714285714285714;81;10
4;4;0.5714285714285714;81;9
0;0;0.25;85;1
4;4;0.25;85;1
4;8;0.25;85;2
4;0;0.25;85;1
8;0;0.25;85;1
8;8;0.25;85;2
0;4;0.25;85;1
4;0;0.25;85;1
8;0;0.25;85;1
4;4;0.25;85;3
0;8;0.25;85;2
4;0;0.25;85;6
0;0;0.25;85;3
4;0;0.25;85;1
0;0;0.25;85;2
8;4;0.25;85;6
8;0;0.25;85;2
0;0;0.25;85;1
8;4;0.7142857142857143;86;7
4;8;0.7142857142857143;86;3
8;4;0.7142857142857143;86;4
0;4;0.7142857142857143;86;4
4;8;0.7142857142857143;86;2
0;0;0.7142857142857143;86;5
4;8;0.7142857142857143;86;2
8;0;0.7142857142857143;86;3
8;8;0.7142857142857143;86;3
0;4;0.7142857142857143;86;5
4;4;0.7142857142857143;86;5
0;4;0.7142857142857143;86;3
4;0;0.7142857142857143;86;3
8;8;0.7142857142857143;86;3
8;0;0.7142857142857143;86;1
0;4;0.7142857142857143;86;2
4;8;0.7142857142857143;86;2
8;0;0.7142857142857143;86;2
8;0;0.5357142857142857;89;5
0;8;0.5357142857142857;89;2
0;4;0.5357142857142857;89;4
8;0;0.5357142857142857;89;1
4;4;0.5357142857142857;89;3
4;8;0.5357142857142857;89;4
0;0;0.5357142857142857;89;1
8;0;0.5357142857142857;89;2
4;0;0.5357142857142857;89;2
0;0;0.5357142857142857;89;2
8;0;0.5357142857142857;89;1
4;8;0.5357142857142857;89;2
4;8;0.5357142857142857;89;2
8;4;0.5357142857142857;89;2
8;8;0.5357142857142857;89;5
0;8;0.5357142857142857;89;0
4;0;0.5357142857142857;89;3
4;4;0.5357142857142857;89;1
8;8;0.6428571428571429;95;7
4;4;0.6428571428571429;95;7
8;0;0.6428571428571429;95;1
4;8;0.6428571428571429;95;1
8;0;0.6428571428571429;95;2
4;4;0.6428571428571429;95;0
8;0;0.6428571428571429;95;1
8;4;0.6428571428571429;95;5
4;4;0.6428571428571429;95;1
4;4;0.6428571428571429;95;1
4;8;0.6428571428571429;95;1
8;0;0.6428571428571429;95;2
0;0;0.6428571428571429;95;3
8;4;0.6428571428571429;95;1
4;8;0.6428571428571429;95;7
8;0;0.6428571428571429;95;5
8;4;0.6428571428571429;95;5
4;0;0.6428571428571429;95;1
4;4;0.6428571428571429;95;1
4;8;0.6428571428571429;95;0
4;4;0.6428571428571429;95;3
8;0;0.6428571428571429;95;2
4;4;0.6428571428571429;95;0
8;4;0.6428571428571429;95;1
0;4;0.6428571428571429;95;1
8;0;0.6428571428571429;95;1
8;4;0.6428571428571429;95;0
4;4;0.6428571428571429;95;0
8;4;0.6428571428571429;95;0
0;4;0.6428571428571429;95;2
0;8;0.6428571428571429;95;9
4;4;0.6428571428571429;95;0
8;0;0.6428571428571429;95;0
4;4;0.6428571428571429;95;0
4;8;0.6428571428571429;95;0
8;8;0.6428571428571429;95;1
8;0;0.39285714285714285;97;7
4;4;0.39285714285714285;97;1
4;8;0.39285714285714285;97;1
0;0;0.39285714285714285;97;1
0;0;0.39285714285714285;97;3
8;0;0.39285714285714285;97;0
4;4;0.39285714285714285;97;0
4;0;0.39285714285714285;97;1
4;8;0.39285714285714285;97;1
4;0;0.39285714285714285;97;2
8;0;0.39285714285714285;97;0
4;8;0.39285714285714285;97;0
0;0;0.39285714285714285;97;1
0;8;0.39285714285714285;97;1
4;0;0.39285714285714285;97;1
4;0;0.39285714285714285;97;1
8;4;0.39285714285714285;97;1
8;8;0.39285714285714285;97;1
