richnessDist;sharpnessDist;knowledgeScore;subject;time
0;4;0.39285714285714285;80;1
4;0;0.39285714285714285;80;25
4;4;0.39285714285714285;80;15
4;4;0.39285714285714285;80;6
4;0;0.39285714285714285;80;12
0;8;0.39285714285714285;80;5
4;0;0.39285714285714285;80;3
0;4;0.39285714285714285;80;14
0;4;0.39285714285714285;80;1
4;8;0.39285714285714285;80;3
4;4;0.39285714285714285;80;0
4;0;0.39285714285714285;80;10
4;4;0.39285714285714285;80;2
4;0;0.39285714285714285;80;6
4;4;0.39285714285714285;80;8
0;0;0.39285714285714285;80;7
0;4;0.21428571428571427;83;6
4;0;0.21428571428571427;83;12
4;0;0.21428571428571427;83;9
4;0;0.21428571428571427;83;2
4;4;0.21428571428571427;83;2
0;4;0.21428571428571427;83;9
4;4;0.21428571428571427;83;6
4;4;0.21428571428571427;83;4
0;0;0.21428571428571427;83;10
4;4;0.21428571428571427;83;12
4;4;0.21428571428571427;83;5
4;0;0.21428571428571427;83;5
0;4;0.21428571428571427;83;4
4;4;0.21428571428571427;83;3
0;0;0.21428571428571427;83;5
4;4;0.21428571428571427;83;3
0;0;0.21428571428571427;83;2
4;4;0.21428571428571427;83;3
4;4;0.21428571428571427;83;3
4;4;0.21428571428571427;83;3
0;0;0.21428571428571427;83;5
4;4;0.21428571428571427;83;3
4;0;0.21428571428571427;83;3
4;4;0.21428571428571427;83;3
4;0;0.21428571428571427;83;5
4;4;0.21428571428571427;83;2
4;0;0.21428571428571427;83;3
4;0;0.21428571428571427;83;2
4;0;0.21428571428571427;83;4
4;4;0.21428571428571427;83;2
4;4;0.21428571428571427;83;1
4;4;0.21428571428571427;83;3
4;4;0.21428571428571427;83;2
4;0;0.21428571428571427;83;2
4;0;0.21428571428571427;83;3
4;0;0.21428571428571427;83;2
0;0;0.25;85;1
0;4;0.25;85;2
4;0;0.25;85;1
0;8;0.25;85;3
0;0;0.25;85;5
4;0;0.25;85;3
0;4;0.25;85;1
0;4;0.25;85;4
4;4;0.25;85;1
0;0;0.25;85;4
4;4;0.25;85;1
4;8;0.25;85;1
0;4;0.25;85;3
0;4;0.25;85;1
0;4;0.25;85;1
4;4;0.25;85;1
4;4;0.25;85;1
0;4;0.25;85;1
4;0;0.32142857142857145;84;4
4;0;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
4;0;0.32142857142857145;84;1
4;4;0.32142857142857145;84;5
0;4;0.32142857142857145;84;1
0;4;0.32142857142857145;84;1
0;0;0.32142857142857145;84;1
4;4;0.32142857142857145;84;1
4;0;0.32142857142857145;84;2
0;4;0.32142857142857145;84;1
0;0;0.32142857142857145;84;3
4;0;0.32142857142857145;84;3
4;0;0.32142857142857145;84;2
4;4;0.32142857142857145;84;1
0;0;0.32142857142857145;84;1
0;4;0.32142857142857145;84;0
